"filename", "language", "Markdown", "C++", "Python", "comment", "blank", "total"
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\NextRound.cpp", "C++", 0, 18, 0, 0, 4, 22
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\RaisingBacteria.cpp", "C++", 0, 17, 0, 0, 10, 27
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\Soccer.cpp", "C++", 0, 19, 0, 0, 8, 27
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\SoldiersAndBananas.cpp", "C++", 0, 13, 0, 2, 6, 21
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\StonesOnTheTable.cpp", "C++", 0, 14, 0, 0, 6, 20
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\Taxi.cpp", "C++", 0, 45, 0, 24, 17, 86
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\Team.cpp", "C++", 0, 24, 0, 0, 4, 28
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\TheatreSquare.cpp", "C++", 0, 13, 0, 0, 13, 26
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\VaniaAndCubes.cpp", "C++", 0, 15, 0, 0, 5, 20
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\WaterMelon.cpp", "C++", 0, 15, 0, 0, 4, 19
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\WordCapitalisation.cpp", "C++", 0, 10, 0, 0, 7, 17
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\ProblemsPlan\YoungPhysicist.cpp", "C++", 0, 21, 0, 1, 14, 36
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\SumOfArray.cpp", "C++", 0, 17, 0, 0, 7, 24
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\USACO\PromotionCounting.cpp", "C++", 0, 17, 0, 8, 5, 30
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\USACO\Teleportation.cpp", "C++", 0, 17, 0, 8, 5, 30
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\USACO\Template.cpp", "C++", 0, 12, 0, 8, 2, 22
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\USACO\dykABC.cpp", "C++", 0, 20, 0, 8, 7, 35
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\Vplanet\BarkToUnlock.cpp", "C++", 0, 29, 0, 0, 13, 42
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\Vplanet\FafaAndGates.cpp", "C++", 0, 33, 0, 8, 15, 56
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\Vplanet\KeyRaces.cpp", "C++", 0, 23, 0, 0, 11, 34
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\Vplanet\RaceAgainstTime.cpp", "C++", 0, 29, 0, 4, 13, 46
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\Vplanet\compileerror.cpp", "C++", 0, 1, 0, 0, 0, 1
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\conains-duplicate.cpp", "C++", 0, 20, 0, 13, 9, 42
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\frequencyrank.cpp", "C++", 0, 22, 0, 10, 11, 43
"c:\Users\HP\Developement\IOI-Practise\C++_Practise\uniquecounter.cpp", "C++", 0, 16, 0, 6, 6, 28
"c:\Users\HP\Developement\IOI-Practise\LeetcodeCourse\contains-duplicate.py", "Python", 0, 0, 7, 4, 6, 17
"c:\Users\HP\Developement\IOI-Practise\README.md", "Markdown", 3, 0, 0, 0, 1, 4
"Total", "-", 3, 1233, 7, 135, 508, 1886
